alibaba/qwen3.7-max,anthropic/claude-haiku-4-5-20251001-thinking,anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5,deepseek/deepseek-v4-pro,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,grok/grok-4.3,grok/v9-potato,grok/v9m-exp-0805-row17-47p8-api-high,kimi/kimi-k2.6,meta/super_nova_vals,minimax/MiniMax-M3,openai/gpt-5.4-mini-2026-03-17,openai/gpt-5.5,openai/gpt-5.6-luna,openai/kindle-alpha,openai/nova-alpha,poolside/laguna-m.1:fast,poolside/laguna-xs.2:fast,zai/glm-5.1,zai/glm-5.2
3.298710144287770318e-01,2.734343708098654346e-01,3.564184331934599492e-01,4.146379406251528565e-01,4.890625342667961895e-01,3.390293199213434416e-01,3.253331139009884576e-01,4.353334232376341872e-01,3.528505658239558529e-01,5.534630487658831477e-01,1.000000000000000000e+00,2.753637130489351992e-01,4.146379406251529121e-01,3.410294459079341589e-01,2.350424259020356677e-01,5.760803265797930228e-01,5.672735920693772194e-01,6.711214953271028572e-01,5.489994701021833068e-01,9.977489237165128311e-02,1.021715439358919508e-01,3.283236334517199984e-01,4.653437668527932169e-01
3.171845122935040284e-01,2.834599685337525488e-01,2.423384014826456545e-01,3.332211706943359331e-01,3.868013379076196134e-01,3.455138853378258990e-01,4.515928512990294852e-01,2.324254905199887034e-01,4.541230087188131703e-01,3.426140482291525902e-01,2.753637130489351992e-01,1.000000000000000000e+00,3.032687059128225671e-01,2.793971673976188841e-01,3.520432164230808958e-01,3.123547120802004362e-01,2.264167064258630346e-01,2.182178902359924177e-01,1.885207407327139095e-01,2.254091596030085853e-01,1.117258384085788314e-01,4.393388459834279836e-01,2.939750189826886295e-01
3.351351607746825834e-01,3.551058687297763417e-01,3.094703706312769698e-01,5.305661858502600525e-01,4.610124602424920393e-01,3.098817635266689630e-01,3.854477982920843093e-01,4.471162305958628069e-01,3.400716897059725130e-01,5.311947865346788866e-01,4.146379406251529121e-01,3.032687059128225671e-01,1.000000000000000000e+00,3.607724283555961420e-01,2.895360993890544465e-01,4.257872351912475040e-01,3.730521278710565158e-01,4.563876283966812331e-01,3.973007180043590103e-01,2.005479803532562166e-01,2.440130175086046432e-02,3.951819078748562974e-01,4.429113525680848928e-01
3.435922458512672972e-01,3.209006255334779234e-01,1.607610132625033050e-01,4.289705487112133175e-01,3.764748902961697063e-01,3.553610381723223965e-01,3.975085100857810860e-01,3.686339603059176073e-01,3.439162280379955416e-01,4.662368019183937840e-01,3.410294459079341589e-01,2.793971673976188841e-01,3.607724283555961420e-01,1.000000000000000000e+00,3.945813326704920021e-01,3.971215979329465462e-01,3.811347550395872141e-01,4.310328519350494214e-01,3.667628696623146944e-01,1.963569392714674677e-01,1.685036458332432596e-01,4.086943379319057379e-01,4.390404684741683328e-01
4.012717360690275514e-01,3.878653895871097546e-01,3.693204879463766743e-01,3.809223037485737762e-01,3.459746665186372860e-01,2.859231601543201218e-01,4.284998972844890619e-01,3.412356230974136206e-01,3.850075076562767262e-01,3.607229277026468006e-01,2.350424259020356677e-01,3.520432164230808958e-01,2.895360993890544465e-01,3.945813326704920021e-01,1.000000000000000000e+00,3.596225426857129759e-01,3.028921692119089792e-01,3.545198942141964404e-01,3.243184873790942446e-01,4.246122543008657435e-01,2.665857482406900347e-01,3.881247667635508991e-01,4.378982069791563791e-01
4.190413222695196227e-01,2.685663272412833757e-01,2.942881002736221219e-01,4.873325756497459693e-01,4.197133564748226631e-01,4.445761116604037277e-01,3.714861332031823560e-01,3.571647250403667817e-01,3.781126799920456749e-01,5.190843117122865280e-01,5.760803265797930228e-01,3.123547120802004362e-01,4.257872351912475040e-01,3.971215979329465462e-01,3.596225426857129759e-01,1.000000000000000000e+00,5.554968816070331439e-01,5.974660308623078731e-01,5.171699381313468180e-01,1.396990624858654995e-01,1.285202829105385747e-01,3.181641895016660837e-01,5.017007458188078584e-01
3.062176339565491623e-01,2.728370139095867564e-01,2.997378884194639714e-01,4.347659475400754148e-01,5.102894737594690922e-01,3.769269222688613197e-01,3.517196364351457549e-01,4.715201259144456425e-01,2.992207675291702618e-01,5.495046518759781895e-01,5.672735920693772194e-01,2.264167064258630346e-01,3.730521278710565158e-01,3.811347550395872141e-01,3.028921692119089792e-01,5.554968816070331439e-01,1.000000000000000000e+00,6.486744527810743843e-01,6.487447307879433689e-01,2.068317243524309401e-01,2.754518269781760370e-02,3.021746863493146029e-01,4.659259889867865545e-01
3.774290098737584365e-01,3.041957375259751739e-01,3.827592367118773931e-01,4.762139915350500075e-01,4.520462272794899539e-01,4.117150139769729100e-01,3.266567822215237782e-01,4.370885197590959614e-01,3.538569626490163933e-01,5.551805649037041546e-01,6.711214953271028572e-01,2.182178902359924177e-01,4.563876283966812331e-01,4.310328519350494214e-01,3.545198942141964404e-01,5.974660308623078731e-01,6.486744527810743843e-01,1.000000000000000000e+00,6.681661228524320428e-01,1.630980846658687533e-01,1.023984223179433967e-01,3.959074841449645166e-01,4.668546079756892286e-01
3.927124774264095786e-01,2.985823140512908203e-01,3.038168171030810605e-01,4.174515469107005772e-01,4.648773915044184246e-01,3.967407046382518954e-01,3.022476876137654700e-01,4.839347053796079212e-01,3.111931895101920920e-01,5.564338755433914097e-01,5.489994701021833068e-01,1.885207407327139095e-01,3.973007180043590103e-01,3.667628696623146944e-01,3.243184873790942446e-01,5.171699381313468180e-01,6.487447307879433689e-01,6.681661228524320428e-01,1.000000000000000000e+00,1.887904736581647314e-01,1.830935182677938255e-02,4.000272465646060316e-01,4.631875699203207297e-01
2.154167369215938543e-01,3.448704736047381592e-01,1.732337799986727878e-01,2.005479803532562444e-01,1.850844965936874198e-01,1.524102189511692129e-01,3.266991706626426462e-01,2.251886745555225500e-01,2.868720041261347831e-01,1.916950389337378213e-01,9.977489237165128311e-02,2.254091596030085853e-01,2.005479803532562166e-01,1.963569392714674677e-01,4.246122543008657435e-01,1.396990624858654995e-01,2.068317243524309401e-01,1.630980846658687533e-01,1.887904736581647314e-01,1.000000000000000000e+00,-1.546387643783640568e-02,2.650333119620116862e-01,2.408338710404550609e-01
1.823666400598918380e-01,2.793721183078313186e-01,2.118256661296687160e-01,1.259107170344400395e-01,1.162022257068876102e-01,-5.030065534577238262e-02,2.051126456633116379e-01,1.413809674441861564e-01,9.710392118971895858e-02,1.203394017212298800e-01,1.021715439358919508e-01,1.117258384085788314e-01,2.440130175086046432e-02,1.685036458332432596e-01,2.665857482406900347e-01,1.285202829105385747e-01,2.754518269781760370e-02,1.023984223179433967e-01,1.830935182677938255e-02,-1.546387643783640568e-02,1.000000000000000000e+00,5.402492238847352718e-02,1.512035440869061165e-01
4.404572808238182424e-01,3.150630189063022835e-01,2.693818938428256815e-01,4.629646210452550426e-01,4.315754805752974876e-01,4.559137616962341544e-01,3.336292023216461677e-01,3.587460832234464769e-01,3.680242225076280072e-01,4.542922976012604974e-01,3.283236334517199984e-01,4.393388459834279836e-01,3.951819078748562974e-01,4.086943379319057379e-01,3.881247667635508991e-01,3.181641895016660837e-01,3.021746863493146029e-01,3.959074841449645166e-01,4.000272465646060316e-01,2.650333119620116862e-01,5.402492238847352718e-02,1.000000000000000000e+00,3.572993127556720605e-01
5.275329507985142552e-01,4.064448813821867068e-01,4.114787561649503878e-01,5.728486746190886159e-01,4.488981226355724385e-01,3.940611796818953572e-01,4.678861823492370675e-01,4.196895941441117772e-01,3.765833944696874713e-01,5.170405613757841357e-01,4.653437668527932169e-01,2.939750189826886295e-01,4.429113525680848928e-01,4.390404684741683328e-01,4.378982069791563791e-01,5.017007458188078584e-01,4.659259889867865545e-01,4.668546079756892286e-01,4.631875699203207297e-01,2.408338710404550609e-01,1.512035440869061165e-01,3.572993127556720605e-01,1.000000000000000000e+00
