alibaba/qwen3.7-max,anthropic/claude-haiku-4-5-20251001-thinking,anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5,deepseek/deepseek-v4-pro,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,grok/grok-4.3,grok/v9-potato,grok/v9m-exp-0805-row17-47p8-api-high,kimi/kimi-k2.6,meta/super_nova_vals,minimax/MiniMax-M3,openai/gpt-5.4-mini-2026-03-17,openai/gpt-5.5,openai/gpt-5.6-luna,openai/kindle-alpha,openai/nova-alpha,poolside/laguna-m.1:fast,poolside/laguna-xs.2:fast,zai/glm-5.1,zai/glm-5.2
-2.010049584427417990e-01,-2.066587618642010127e-01,-5.897067992535314634e-02,-1.230350383868106662e-01,5.424116802029667339e-02,-1.248960981378602203e-01,-2.101084686207409236e-01,-1.909456568420796196e-02,-1.221032995719299602e-01,1.014238958857368866e-01,1.000000000000000000e+00,-1.898364368566559102e-01,-3.832829518373177813e-02,-1.418543941841434175e-01,-3.309022054439783589e-01,2.100830441599920995e-01,1.980025208296792849e-01,3.661649562994391260e-01,1.612787150050364049e-01,-3.002871010333992841e-01,-2.245767260352080075e-01,-1.776886470144523889e-01,-2.523679297366067040e-02
-1.892402012057664215e-02,1.359150174815407230e-01,2.413505446986558348e-02,-1.521208185998481621e-01,-3.005216164214810290e-02,9.498758079778828189e-02,2.022575614039369696e-01,-2.029999613547225634e-01,2.741308917578252902e-01,-2.086012627628998362e-01,-1.898364368566559102e-01,1.000000000000000000e+00,-9.141177779326771502e-02,-4.854883892995059264e-02,1.595451106429241483e-01,-1.419035362007545764e-01,-2.629063091568029087e-01,-3.540236214045327512e-01,-3.349592545645896924e-01,2.953726287002209072e-01,3.024340788397765212e-01,1.595308304234891172e-01,-1.846616336770708355e-01
-1.436261079853756728e-01,-2.647321667517323757e-02,-8.355110481456247407e-02,1.301876347522856470e-01,3.448787627279881196e-02,-1.249667311347736204e-01,-5.596010121775767815e-02,3.712862456681029905e-02,-8.834278838222121844e-02,9.046952875584589326e-02,-3.832829518373177813e-02,-9.141177779326771502e-02,1.000000000000000000e+00,-6.572200430867038146e-02,-1.803545908129892128e-01,-3.409461268698429914e-02,-1.228774807788911710e-01,-1.520688910944781314e-02,-8.449629722426924006e-02,-1.401514465821717126e-01,-1.834231440482939346e-01,-2.098590509636481111e-02,-2.856538436627840613e-02
-8.076659960913555591e-02,4.336991250328090831e-03,-2.399931509033578769e-01,-3.575652988350416783e-02,-9.080246090648166901e-02,1.511720071924699358e-04,1.777295148409429454e-02,-6.610588936043157449e-02,-1.534434826101025058e-02,-1.987257517091228429e-02,-1.418543941841434175e-01,-4.854883892995059264e-02,-6.572200430867038146e-02,1.000000000000000000e+00,5.661838839192109840e-02,-5.876731482685259439e-02,-7.979903970574332706e-02,-4.347183407052319926e-02,-1.125333539285447715e-01,-1.729003367858835544e-02,1.797327650218020004e-02,4.145679147054209118e-02,-6.081837661982062576e-03
4.099698020707354812e-02,2.099350251249413046e-01,1.364387060846010968e-01,-1.511026435330934670e-01,-1.622995801802208926e-01,-4.871376065381317205e-02,1.105577088637592076e-01,-1.105810254814048738e-01,1.253503919599460448e-01,-2.644848151029727257e-01,-3.309022054439783589e-01,1.595451106429241483e-01,-1.803545908129892128e-01,5.661838839192109840e-02,1.000000000000000000e+00,-1.408212342308409748e-01,-2.232683692015325072e-01,-2.167326755220777834e-01,-2.030446191412380030e-01,3.852997706661004940e-01,3.238710510693224021e-01,2.906554663846607628e-02,-2.765088027952500652e-02
-5.730384096287166606e-02,-2.201266036501977885e-01,-1.665261572081245256e-01,-2.083270056501653096e-03,-9.299425762128293860e-02,4.061784028684654879e-02,-1.434941217393657098e-01,-1.779445633079817790e-01,-9.072206997577934862e-02,8.002083618267891857e-03,2.100830441599920995e-01,-1.419035362007545764e-01,-3.409461268698429914e-02,-5.876731482685259439e-02,-1.408212342308409748e-01,1.000000000000000000e+00,1.620823279080059187e-01,2.079226906753713910e-01,8.612585864867206009e-02,-2.657233935246100520e-01,-2.053554656984990789e-01,-2.114660987781168122e-01,2.742167541364173497e-02
-2.515359280494202099e-01,-2.041963655424919033e-01,-1.499536206652550274e-01,-9.844215277988285773e-02,8.272796894195230677e-02,-6.606971138718753522e-02,-1.701907252428770112e-01,3.717849090257244193e-02,-2.120517127656507128e-01,7.633526505408447238e-02,1.980025208296792849e-01,-2.629063091568029087e-01,-1.228774807788911710e-01,-7.979903970574332706e-02,-2.232683692015325072e-01,1.620823279080059187e-01,1.000000000000000000e+00,3.123481988819626909e-01,3.388140005209871464e-01,-1.989042440815451951e-01,-2.451394621504678073e-01,-2.320014789138139799e-01,-3.587791005532742217e-02
-1.836564456926963185e-01,-2.339831417422602033e-01,-7.720404286995667664e-02,-6.190015615166418600e-02,-6.928220202197871158e-02,-6.327671220704469968e-02,-2.825211028529821533e-01,-7.203910186684096828e-02,-1.917759212091423027e-01,5.049729938102472115e-02,3.661649562994391260e-01,-3.540236214045327512e-01,-1.520688910944781314e-02,-4.347183407052319926e-02,-2.167326755220777834e-01,2.079226906753713910e-01,3.123481988819626909e-01,1.000000000000000000e+00,3.491477052240168355e-01,-3.362984157057645196e-01,-3.084406887904245220e-01,-1.204304779327686897e-01,-8.362980169861512769e-02
-1.054935443259040068e-01,-1.806176669855504291e-01,-1.548237355111141411e-01,-1.360625820622425597e-01,-6.021493694976115876e-03,-4.226785959339166010e-02,-2.678619905459926342e-01,5.477569799268938722e-02,-2.049675096370564276e-01,9.285974758064997892e-02,1.612787150050364049e-01,-3.349592545645896924e-01,-8.449629722426924006e-02,-1.125333539285447715e-01,-2.030446191412380030e-01,8.612585864867206009e-02,3.388140005209871464e-01,3.491477052240168355e-01,1.000000000000000000e+00,-2.374753330117035932e-01,-2.750302657071100332e-01,-6.765606988057393245e-02,-4.622442101584685326e-02
-1.510603511602589058e-02,4.015690429590196286e-01,1.485193662661639935e-01,-2.691769009001161450e-01,-2.355616889759370169e-01,3.861998420131396853e-02,1.327095298487161179e-01,-1.186645864025435843e-01,2.269374450835566492e-01,-3.721121855142794921e-01,-3.002871010333992841e-01,2.953726287002209072e-01,-1.401514465821717126e-01,-1.729003367858835544e-02,3.852997706661004940e-01,-2.657233935246100520e-01,-1.989042440815451951e-01,-3.362984157057645196e-01,-2.374753330117035932e-01,1.000000000000000000e+00,7.525099141329232300e-01,1.272282077480422352e-02,-1.795972474023681820e-01
1.774339621275365653e-02,4.032487036993511742e-01,2.225562752110891440e-01,-2.591289221641665530e-01,-2.208149207975973194e-01,1.059713768175784242e-02,9.582057685479054843e-02,-1.215415064208454909e-01,1.793198032332652403e-01,-3.551114506288891581e-01,-2.245767260352080075e-01,3.024340788397765212e-01,-1.834231440482939346e-01,1.797327650218020004e-02,3.238710510693224021e-01,-2.053554656984990789e-01,-2.451394621504678073e-01,-3.084406887904245220e-01,-2.750302657071100332e-01,7.525099141329232300e-01,1.000000000000000000e+00,-5.848700424532581044e-02,-1.860872350937383402e-01
6.522719587164271804e-02,-2.196562012797943775e-02,-9.738894520958529810e-02,1.301243743131884345e-02,-7.528042830477252485e-03,1.429598734377715286e-01,-1.033176011690002116e-01,-9.668780972697647857e-02,4.580819856128653077e-03,-5.590669494521303962e-02,-1.776886470144523889e-01,1.595308304234891172e-01,-2.098590509636481111e-02,4.145679147054209118e-02,2.906554663846607628e-02,-2.114660987781168122e-01,-2.320014789138139799e-01,-1.204304779327686897e-01,-6.765606988057393245e-02,1.272282077480422352e-02,-5.848700424532581044e-02,1.000000000000000000e+00,-1.685476902353260642e-01
1.190773949849204816e-01,-2.313416445008909320e-02,7.657754902298540695e-03,1.378157748033633778e-01,-6.852868741963538679e-02,-6.314633948655222484e-02,7.504246768375020735e-03,-9.128664929670558814e-02,-1.112125853726934760e-01,-2.881009648471604193e-02,-2.523679297366067040e-02,-1.846616336770708355e-01,-2.856538436627840613e-02,-6.081837661982062576e-03,-2.765088027952500652e-02,2.742167541364173497e-02,-3.587791005532742217e-02,-8.362980169861512769e-02,-4.622442101584685326e-02,-1.795972474023681820e-01,-1.860872350937383402e-01,-1.685476902353260642e-01,1.000000000000000000e+00
