benchmark,detailed_runs,task_records,binary_records,native_records,cost_records,input_tokens_records,output_tokens_records,reasoning_tokens_records,cache_read_tokens_records,cache_write_tokens_records,duration_seconds_records,tool_calls_records,turns_records,unpriced_zero_cost_records,invalid_negative_telemetry_records,binary_share,native_share,cost_share,input_tokens_share,output_tokens_share,reasoning_tokens_share,cache_read_tokens_share,duration_seconds_share,tool_calls_share
terminus,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-continual-harness-smoke-20260713a,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-m2q35h0-20260714223918,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-fabv2-hillclimb-arbor-20260715231935,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
progbench6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-vals-persona2-0701165556,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpse-bench,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valsmith-generation,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-gptoss-h5-coreweave-20260714234933,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-nanochat-agentic-fv-20260701232612,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kspbench,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discogen-harness-rsi-local,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osworld-v2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-fabv2-autoresearch-full16-20260715160049,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valsmith-task-filter,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code-migration,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-m2q35h4-20260714215304,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
deepmind-formal-conjectures,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
